Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,16.0098,16.095699,15.9043,16.0683,2.412877,47600787
1996-01-02,16.029301,16.107401,15.8262,15.9434,2.394122,77143764
1996-01-03,16.205,16.943001,16.029301,16.0644,2.412292,95695836
1996-01-04,15.9121,15.9629,15.7013,15.916,2.390007,99159504
1996-01-05,15.8536,15.8536,15.67,15.8067,2.373594,76213503
1996-01-08,15.7755,15.7872,15.0179,15.1741,2.278601,85478335
1996-01-09,14.7251,14.9945,14.2331,14.7368,2.212934,177730990
1996-01-10,14.4478,14.7954,14.2916,14.358,2.156052,126455257
1996-01-11,14.2135,14.8774,14.194,14.8071,2.223491,187276245
1996-01-12,14.9164,15.0296,14.5533,14.6509,2.200035,171294714
1996-01-15,14.6079,14.6821,14.4166,14.4986,2.177165,91424832
1996-01-16,14.4478,14.604,14.401,14.5259,2.181265,99318282
1996-01-17,14.4478,14.4674,13.827,13.948,2.094485,136980711
1996-01-18,13.5927,13.8153,13.417,13.5614,2.036432,172581585
1996-01-19,13.374,13.5419,13.2334,13.3232,2.000663,148366639
1996-01-22,13.3662,13.7254,13.3545,13.5497,2.034674,154802916
1996-01-23,13.5966,13.6552,12.2611,12.9757,1.948481,162257165
1996-01-24,12.8625,12.9406,12.3392,12.5306,1.881643,160550300
1996-01-25,12.5032,12.5579,11.9292,12.0034,1.802476,164971119
1996-01-29,11.9487,13.0616,11.8746,12.9484,1.944381,298484960
1996-01-30,13.3545,14.7602,13.1592,14.112,2.119112,485481422
1996-01-31,13.9793,14.5064,13.4521,13.8035,2.072786,334445006
1996-02-01,13.6669,14.4478,13.6278,14.358,2.156052,292779831
1996-02-02,14.7407,16.0879,14.7407,15.916,2.390007,374293835
1996-02-05,16.790701,17.587299,16.287001,17.239799,2.588794,558877894
1996-02-06,17.6537,17.9622,15.4319,15.795,2.371837,567944894
1996-02-07,14.9203,16.243999,14.7641,16.0879,2.415821,409365875
1996-02-08,16.2519,17.778601,16.0879,17.493601,2.626906,375632565
1996-02-09,18.118401,18.8993,17.5014,18.5089,2.779367,454624685
1996-02-12,18.0403,18.3526,17.1031,17.3491,2.605207,444182462
1996-02-13,17.1812,19.0672,17.032801,18.391701,2.761768,465868482
1996-02-14,18.8603,19.1297,18.2628,18.4034,2.763525,284567545
1996-02-15,17.9622,18.547899,17.806,18.1105,2.719541,319621659
1996-02-16,17.806,17.981701,17.6537,17.7904,2.671475,226593039
